ID_voie,Num_voie,Nom_voie,Code_voie
24353,64,VICTOR HUGO,0
24354,64,VOLTAIRE,0
24355,640,DEPARTEMENTALE 6085,3
24356,640,DES CAILLADES,5
24357,6404,D AIGUES VIVES,3
24358,6407,D AIGUES VIVES,3
24359,6408,D AIGUES VIVES,3
24360,6412,DE BOIS LURETTE,5
24361,6412,RES LES MARINES,39
24362,6413,D AIGUES VIVES,3
24363,6415,D AIGUES VIVES,3
24364,6419,D AIGUES VIVES,3
24365,642,DE MAZARGUES,1
24366,6420,D AIGUES VIVES,3
24367,6426,ARISTIDE BRIAND,0
24368,6436,RES LES PORTES DE LA MER,39
24369,644,D ARBERE,0
24370,6440,LDT CONTI,8
24371,645,DE LA REPUBLIQUE,1
24372,6459,LES BERNARDS,8
24373,6459,SAINT PONS,8
24374,646,DES PLANTIERS,1
24375,646,HELENE BOUCHER,0
24376,6463,PLAN DEVIN ARC 1600,18
24377,647,NATIONALE 6,3
24378,648,ANCIEN CHEM D AVIGNON,30
24379,649,DE LA BAIE DES ISLES,1
24380,649,DU SOLEIL,22
24381,65,ANATOLE LE BRAZ,0
24382,65,ARISTIDE BRIAND,1
24383,65,BANNIER,44
24384,65,CARNOT,0
24385,65,CHARLES DE GAULLE,0
24386,65,CHARLOT,0
24387,65,CLAUDE DEBUSSY,2
24388,65,D ARRAS,0
24389,65,DE   VALBERG,1
24390,65,DE BIARRITZ,1
24391,65,DE CERNAY,0
24392,65,DE CLICHY,0
24393,65,DE COURCELLES,0
24394,65,DE LA CONVENTION,0
24395,65,DE LA FONTAINE,0
24396,65,DE LA MADELEINE,15
24397,65,DE LA REPUBLIQUE,0
24398,65,DE LA REPUBLIQUE,1
24399,65,DE LA RESISTANCE,1
24400,65,DE LEVIS,0
24401,65,DE LORRAINE,0
24402,65,DE MONTESSON,3
24403,65,DE PARIS,0
24404,65,DE RENNES,0
24405,65,DE ROMAINVILLE,0
24406,65,DE SAINT ENOGAT,0
24407,65,DE TOCQUEVILLE,0
24408,65,DES ACACIAS,15
24409,65,DES EDELWEISS,10
24410,65,DES EMBRUNS,2
24411,65,DES GLYCINES,0
24412,65,DES GRAVILLIERS,0
24413,65,DES LANTANAS,0
24414,65,DES LORIOTS,2
24415,65,DES SAPINS,2
24416,65,DU FBG DU TEMPLE,0
24417,65,DU MARECHAL JOFFRE,15
24418,65,DU PARC DE CACHAN,0
24419,65,DU PORT A L ABBESSE,0
24420,65,DU PRIEURE SAINT SAUVEUR,0
24421,65,DU PUITS D ENFER,0
24422,65,DU THEATRE,0
24423,65,DULONG,0
24424,65,EAU DE ROBEC,0
24425,65,EDGAR DEGAS,0
24426,65,FAIDHERBE,1
24427,65,FRANCOIS LASCOUR,1
24428,65,G. LENOTRE,0
24429,65,GAMARD,0
24430,65,GAMBETTA,0
24431,65,GAMBETTA,15
24432,65,GENERAL DE GAULLE,1
24433,65,GEORGE  5,1
24434,65,GUSTAVE COURBET,0
24435,65,HALLE,0
24436,65,HAMEAU DES PECHEURS,18
24437,65,HIPPOLYTE FAURE,15
24438,65,JEAN BART,0
24439,65,JEAN DE LA FONTAINE,0
24440,65,JEAN LARTIGAU,1
24441,65,LEI ROURE,15
24442,65,MARCADET,0
24443,65,MARIE CURIE,1
24444,65,MARIUS BERLIET,0
24445,65,MARTYRS DE RESISTANCE,0
24446,65,MAURICE THOREZ,0
24447,65,NICOLE DUCLOS,0
24448,65,PASTEUR,0
24449,65,PHILIPPE AUGUSTE,1
24450,65,PIERRE DELIRY,0
24451,65,PONIATOWSKI,15
24452,65,RENEE AUDUC,0
24453,65,RODIN,15
24454,65,SEDAINE,0
24455,65,VAUVENARGUES,0
24456,65,VILLENEUVE,0
24457,65,VOLNEY,0
24458,650,DU DR JEAN BASTIDE,15
24459,650,DU GAL DE GAULLE,1
24460,6505,HABITATION BOIS CARRE,8
24461,652,PIERRE PASQUIER,15
24462,6531,DE PORT KENNET,3
24463,654,DE REPENTANCE,5
24464,654,DES MARTYRS,0
24465,655,GEORGES CLEMENCEAU,1
24466,6554,HONORE DE BALZAC,12
24467,656,DU JONQUET,5
24468,657,DE THUET,3
24469,6572,ILE CAVALLO,8
24470,658,DES GRANGETTES,3
24471,658,PLATEAU DES SAIX,8
24472,66,ADOLPHE SCHNEIDER,1
24473,66,ALBERT 1ER,15
24474,66,ALBERT PITRES,0
24475,66,AMELOT,0
24476,66,ANTOINE ARNAUD,0
24477,66,AUGUSTE BLANQUI,15
24478,66,BERGSON,0
24479,66,BOILEAU,1
24480,66,BONNETERIE,0
24481,66,BRANCION,0
24482,66,CARNOT,15
24483,66,CASTAGNARY,0
24484,66,CASTOR,0
24485,66,CHAMP LAGARDE,0
24486,66,CHAPONNAY,0
24487,66,COL PIERRE BOURGOIN,1
24488,66,DE BORDEAUX,1
24489,66,DE BRETEUIL,1
24490,66,DE DIJON,0
24491,66,DE DOMONT,3
24492,66,DE FLANDRE,1
24493,66,DE GRAVELLE,1
24494,66,DE GRENELLE,0
24495,66,DE L EUROPE,1
24496,66,DE L'ESSONNE,0
24497,66,DE LA CORNE D OR,15
24498,66,DE LA MADELEINE,15
24499,66,DE LA MEDITERRANEE,1
24500,66,DE LA REPUBLIQUE,0
24501,66,DE LA REPUBLIQUE,1
24502,66,DE LA SABLIERE,0
24503,66,DE LODEVE,3
24504,66,DE PARIS,0
24505,66,DE POISSY,0
24506,66,DE RENNES,0
24507,66,DE SAINT EXUPERY,0
24508,66,DE SENLIS,0
24509,66,DE STRASBOURG,15
24510,66,DE TOULON,3
24511,66,DE VERDUN,4
24512,66,DE VESLE,0
24513,66,DE VINCENNES,15
24514,66,DE VINCENNES,4
24515,66,DEDIEU,0
24516,66,DENFERT ROCHEREAU,1
24517,66,DES ALLIES,1
24518,66,DES CHAIS,0
24519,66,DES FONCES,0
24520,66,DES INFIRMIERES,0
24521,66,DES LACS,3
24522,66,DES ROUX,0
24523,66,DU CLOS,1
24524,66,DU COMMANDANT ROLLAND,0
24525,66,DU FBG SAINT ANTOINE,0
24526,66,DU FBG ST MARTIN,0
24527,66,DU FBOURG MONTMARTRE,0
24528,66,DU HUIT MAI 1945,0
24529,66,DU HUIT MAI 1945,1
24530,66,DU PORT,1
24531,66,DU PRIEURE ST THOMAS,0
24532,66,DU PUYROUSSEAU,15
24533,66,EDOUARD VAILLANT,0
24534,66,EUGENIE MANSION,0
24535,66,FOCH,1
24536,66,FRANCOIS FOREAU,0
24537,66,GRAND RUE MARIO ROUSTAN,0
24538,66,GRANDE RUE,8
24539,66,GUILLAUME APOLLINAIRE,0
24540,66,HYPPOLITE MEGE MOURRIES,15
24541,66,J F KENNEDY,15
24542,66,JEAN JAURES,15
24543,66,JEAN MOULIN,1
24544,66,JEAN VINGT TROIS,15
24545,66,JEAN XXIII,1
24546,66,KLEBER,1
24547,66,LAFITTE,0
24548,66,LE GENOIS I,18
24549,66,LOUIS BOSC,0
24550,66,LOUIS VITET,0
24551,66,MADEMOISELLE,0
24552,66,MARCELLIN BERTHELOT,0
24553,66,NATIONALE,0
24554,66,NOIRE,0
24555,66,PAUL VAILLANT COUTURIER,15
24556,66,SAINT GEORGES,0
24557,66,SAINT HONORE,0
24558,66,SECRETAN,1
24559,66,SIMON BOLIVAR,1
24560,66,SOMMEVILLE,0
24561,66,VINCENT AURIOL,0
24562,66,VINCENT AURIOL,15
24563,66,VOLTAIRE,15
24564,660,PIERRE PASQUIER,15
24565,6600,IMM AIGUILLE GRIVE 2,8
24566,661,DE LA BRETAGNE,18
24567,661,DU DOCTEUR JACQUES ARNAUD,1
24568,661,MARECHAL JOFFRE,15
24569,662,BRUNET,5
24570,663,BLANCHE,3
24571,6670,DE LA TRAMONTANE,0
24572,6678,MOULIN A VENT,5
24573,6680,PAYS MELE,8
24574,67,ARC DE TRIOMPHE,0
24575,67,BIZET,0
24576,67,CHAPTAL,0
24577,67,CHARLES DE GAULLE,1
24578,67,COLBERT,0
24579,67,CURIOL,0
24580,67,DE BELLEVUE,1
24581,67,DE BRETAGNE,0
24582,67,DE CHAVORNOD,3
24583,67,DE GENEVE,3
24584,67,DE L EPINETTE,0
24585,67,DE LA BOURDONNAIS,1
24586,67,DE LA CHASSE,0
24587,67,DE LA MEDITERRANEE,1
24588,67,DE LA MER,1
24589,67,DE LA REPUBLIQUE,1
24590,67,DE LA ROSE,1
24591,67,DE LA SOLIDARITE,0
24592,67,DE LA TOUR D ODRE,0
24593,67,DE MENILMONTANT,0
24594,67,DE PARIS,1
24595,67,DE PONTOISE,0
24596,67,DE REUILLY,15
24597,67,DE SAINT JUST DES MARAIS,0
24598,67,DE ST CYR,0
24599,67,DE TOLBIAC,0
24600,67,DE VERDUN,4
24601,67,DE WATTIGNIES,0
24602,67,DES CHARMES,1
24603,67,DES DAMES,0
24604,67,DES NEIGES,15
24605,67,DES PLATRIERES,48
24606,67,DES TROIS LIEUES,1
24607,67,DU CHEMIN VERT,0
24608,67,DU GEN DE GAULLE,0
24609,67,DU GOUVERNEUR GAL EBOUE,0
